'대여일자','대여소번호','대여소','대여건수','반납건수'
'201701','344',' 성균관대 E하우스 앞',267,325
'201701','345',' 서울보증보험본사 앞',250,307
'201701','346',' 맥스타일 앞',329,389
'201701','347',' 동대문역사문화공원역 9번출구 앞',284,276
'201701','349',' 사직동주민센터',293,183
'201701','350','KEB 하나은행(내자동 지점) 앞',233,197
'201701','351',' 청운초교 앞 삼거리',204,198
'201701','352',' 중앙고입구 삼거리',139,53
'201701','353',' 재동초교 앞 삼거리',133,159
'201701','117',' 홍은사거리',137,146
'201701','354',' 포르투갈 대사관 앞',317,216
'201701','355',' 서울사대부속초교 앞',223,239
'201701','356',' KT혜화지사 앞',217,271
'201701','358',' 성대입구 사거리',659,613
'201701','359',' 원남동사거리',188,216
'201701','361',' 동묘앞역 1번출구 뒤',233,293
'201701','362',' 청계8가 사거리',300,260
'201701','363',' 신설동역 11번출구 뒤',112,116
'201701','364',' 창신역 1번출구 앞',166,126
'201701','113',' 홍대입구역 2번출구 앞',950,1201
'201701','367',' 독립문역 3-1번출구 ',133,125
'201701','368',' SK 서린빌딩 앞',195,217
'201701','369',' 광화문 시민열린마당',221,185
'201701','348',' 독립문역 사거리',141,137
'201701','370',' 시청역(2호선) 9번출구 뒤',174,177
'201701','371',' 동대입구역 6번출구 뒤',145,138
'201701','372',' 약수역 3번출구 뒤',87,104
'201701','373',' 청구 어린이공원',19,14
'201701','374',' 청구역 2번출구 앞',160,133
'201701','118',' 광흥창역 2번출구 앞',329,307
'201701','375',' 다산 어린이공원',171,191
'201701','377',' 서울역 4번출구 앞',69,79
'201701','378',' 청계7가 사거리',202,233
'201701','379',' 서울역9번출구',73,61
'201701','380',' CJ제일제당 앞',183,168
'201701','381',' 장충체육관',44,12
'201701','382',' 약수역 10번출구 앞',78,89
'201701','383',' 신당역 12번 출구 뒤',304,299
'201701','384',' 종로학원본원 ',92,60
'201701','114',' 홍대입구역 8번출구 앞',467,440
'201701','142',' 아현역 4번출구 앞',178,164
'201701','143',' 공덕역 2번출구',193,249
'201701','144',' 공덕역 8번출구',315,414
'201701','145',' 공덕역 5번출구',177,191
'201701','146',' 마포역 1번출구 뒤',255,299
'201701','147',' 마포역 4번출구 뒤',194,318
'201701','148',' 용강동 주민센터 앞',176,162
'201701','150',' 서강대역 2번출구 앞',194,252
'201701','151',' 망원1동주민센터',104,168
'201701','152',' 마포구민체육센터 앞',253,357
'201701','119',' 서강나루 공원',267,319
'201701','153',' 성산2교 사거리',293,364
'201701','154',' 마포구청역 ',235,295
'201701','155',' 가좌역1 번출구 뒤',110,121
'201701','156',' 서울서부지방법원 앞',169,231
'201701','157',' 애오개역 4번출구 앞',284,285
'201701','158',' 독립문 어린이 공원',127,109
'201701','159',' 이대역 4번 출구',182,87
'201701','160',' 북아현동 가구거리',153,154
'201701','161',' 무악재역1번 출구',56,55
'201701','162',' 봉원고가차도 밑',328,135
'201701','120',' 신수동 사거리',107,127
'201701','163',' 명지전문대학교 정문 앞',71,87
'201701','164',' 북가좌1동 주민센터 ',118,88
'201701','165',' 중앙근린공원',141,127
'201701','166',' 가재울 초등학교',212,235
'201701','167',' 연가초등학교 옆',88,18
'201701','168',' 남가좌동 사거리',58,47
'201701','169',' 북가좌 삼거리',111,109
'201701','170',' 가재울 뉴타운 주유소 옆',180,173
'201701','171',' 임광빌딩 앞',228,223
'201701','172',' 서대문소방서',214,157
'201701','121',' 마포소방서 앞',205,194
'201701','173',' 서대문역 8번출구 앞',178,164
'201701','175',' 홍연2교옆',254,231
'201701','179',' 가좌역 4번출구 앞',185,211
'201701','180',' 충정로역 7번출구 뒤',189,180
'201701','518',' 청계천 박물관 앞',54,79
'201701','519',' 양지사거리',152,124
'201701','520',' 상왕십리역 4번 출구 앞',189,131
'201701','521',' 왕십리역 11번 출구 앞',158,173
'201701','522',' 금호역 1번출구 앞',47,48
'201701','523',' 옥수동성당 옆',6,2
'201701','122',' 신성기사식당 앞',233,225
'201701','524',' 래미안금호하이리버 아파트 102동 옆',48,43
'201701','525',' 한양대병원사거리',201,238
'201701','526',' 용답토속공원 앞',172,178
'201701','529',' 장한평역 8번 출구 앞',311,360
'201701','530',' 청계벽산아파트 앞',145,129
'201701','533',' 우리은행 금호동 지점 앞',13,63
'201701','534',' 금호사거리',53,37
'201701','535',' 응봉삼거리',123,88
'201701','536',' 행당역 2번출구 앞',162,150
'201701','537',' 한양대후문역 부근',187,170
'201701','123',' 문화촌 공원',84,78
'201701','538',' 답십리역 8번출구 앞',168,218
'201701','550',' 서울시설공단 앞',132,146
'201701','539',' 군자교교차로',63,93
'201701','540',' 군자역 7번출구 베스트샵 앞',342,392
'201701','542',' 강변역 4번출구 뒤',102,65
'201701','543',' 구의공원(테크노마트 앞)',98,61
'201701','544',' 광남중학교',54,65
'201701','546',' 잠실대교북단 교차로',117,111
'201701','548',' 자양나들목',201,200
'201701','549',' 아차산역 3번출구',224,269
'201701','124',' 서강대 정문 건너편',342,248
'201701','600',' 휘경2동 주민센터',129,136
'201701','601',' 용신동주민센터',91,86
'201701','602',' 장안동 사거리',309,355
'201701','604',' 답십리초등학교 옆 공원',82,73
'201701','605',' 신설동역8번출구',65,82
'201701','606',' 휘경공고앞',15,34
'201701','607',' 신이문역 2번출구',65,59
'201701','608',' 전농삼성아파트',90,95
'201701','609',' 제기2교',190,228
'201701','125',' 서강대 남문 옆',312,371
'201701','610',' 동대문중 교차로',139,158
'201701','612',' 시립동부병원 앞 사거리',135,139
'201701','613',' 신설동역 10번출구 앞',230,203
'201701','614',' 용두동 사거리',224,191
'201701','615',' 용두동 레미안허브리츠아파트 앞',145,120
'201701','616',' 서울시립대 앞',99,28
'201701','617',' 청솔우성아파트 앞',139,154
'201701','227',' 양평2나들목 보행통로 입구',94,128
'201701','228',' 선유도역 3번출구 앞',187,189
'201701','229',' 양평1 보행육교 앞',195,183
'201701','126',' 서강대 후문 옆',473,470
'201701','231',' 남부고용노동지청 남측',104,110
'201701','232',' 양평우림 이비즈센타 앞',411,380
'201701','233',' YP 센터 앞',23,41
'201701','234',' 영등포구민체육센터 앞',80,65
'201701','235',' 신길동 우리은행 옆',88,109
'201701','236',' 문래동자이아파트 앞',71,72
'201701','237',' 보라매 두산위브 건너편',126,133
'201701','238',' 제2구민체육센타 앞',254,253
'201701','239',' 유스호스텔 앞',207,211
'201701','240',' 문래역 4번출구 앞',193,199
'201701','127',' 현대벤처빌 앞',175,109
'201701','241',' 신길우성1차아파트 앞 공원',70,58
'201701','242',' 신길선원가와인아파트 앞',126,147
'201701','243',' 이앤씨드림타워 앞',97,100
'201701','244',' 영등포삼환아파트 앞',246,289
'201701','245',' 삼성생명 당산사옥 앞',139,167
'201701','247',' 당산역 10번출구 앞',334,292
'201701','248',' 초원아파트 앞',99,82
'201701','249',' 여의도중학교 옆',60,68
'201701','250',' 대림아파트 사거리',66,89
'201701','251',' 서울지방병무청 버스정류장',62,67
'201701','101',' (구)합정동 주민센터',102,138
'201701','128',' 신촌역(2호선) 1번출구 옆',330,348
'201701','252',' 보라매역4번출구',113,110
'201701','253',' 신풍역 5번출구 인근',215,155
'201701','254',' 도림신협 앞',53,66
'201701','255',' 도림4거리',95,129
'201701','256',' 동아에코빌입구',51,49
'201701','257',' 신길삼거리(우리은행)',158,231
'201701','258',' 신길역3번출구',152,241
'201701','259',' 대방역6번출구',354,410
'201701','700',' KB국민은행 염창역 지점 앞',75,87
'201701','701',' 목동사거리 부근',23,49
'201701','129',' 신촌역(2호선) 6번출구 옆',232,222
'201701','702',' 목4동주민센터 옆',28,44
'201701','703',' 오목교역 7번출구 앞',255,282
'201701','704',' 남부법원검찰청 교차로',97,103
'201701','706',' 신정네거리역',80,83
'201701','707',' 신정3동주민센터',57,90
'201701','708',' 서울출입국관리사무소 앞',186,196
'201701','709',' 신정3동 현장민원실 앞',35,21
'201701','710',' 서부화물트럭터미널 사거리',48,47
'201701','711',' 신일해피트리아파트 앞',60,29
'201701','712',' 강월초교입구 사거리',16,55
'201701','130',' 신촌역(2호선) 7번출구 앞',257,293
'201701','713',' 양서중학교 옆',13,8
'201701','714',' 한국SGI 양천문화회관 앞',12,20
'201701','800',' 목월공원 앞',161,208
'201701','802',' 한강진역 2번 출구 앞',94,34
'201701','803',' 한남초교 앞 보도육교',24,53
'201701','805',' 문배어린이공원 앞',144,232
'201701','806',' 전자랜드 본관 앞',117,109
'201701','807',' 서울역 12번 출구 앞',82,104
'201701','808',' 서빙고동 금호맨션 앞',22,16
'201701','131',' 증산2교',103,112
'201701','809',' 한남 유수지 복개주차장',103,121
'201701','810',' 이태원지하보도',71,57
'201701','811',' 녹사평역1번출구',227,74
'201701','812',' 용산전쟁기념관',50,76
'201701','813',' 삼각지역 3번출구',84,81
'201701','815',' LIG강촌아파트 103동앞',65,96
'201701','385',' 종각역 5번출구',329,325
'201701','386',' 올림픽기념 국민생활관 앞',261,190
'201701','387',' 훈련원공원주차장 앞',118,129
'201701','181',' 망원초록길 입구',35,32
'201701','132',' 창천문화공원',162,143
'201701','182',' 망원2빗물펌프장 앞',149,110
'201701','183',' 하늘채코오롱아파트 건너편',436,418
'201701','184',' SK망원동주유소 건너편',233,267
'201701','185',' 마포 신수공원 앞',244,186
'201701','186',' 월드컵공원',134,161
'201701','177',' 북가좌 초등학교',62,98
'201701','188',' 홍은동 정원여중 입구',94,89
'201701','191',' 정명학원',57,79
'201701','192',' 연서어린이공원',74,73
'201701','178',' 증산3교 앞',56,46
'201701','133',' 해담는다리',105,117
'201701','194',' 증산교 앞',212,206
'201701','195',' 모래내고가차도 ',203,121
'201701','196',' 연희교차로 인근',94,83
'201701','198',' 충정2교',86,74
'201701','556',' 달맞이공원',30,22
'201701','557',' 도선동 주민센터 앞',166,178
'201701','558',' 성동광진 교육지원청 앞',195,192
'201701','134',' 연세로 명물길',104,137
'201701','559',' 왕십리역 4번 출구 건너편',216,192
'201701','560',' 비전교회 앞',135,135
'201701','561',' 서울숲역 2번출구 앞',221,166
'201701','562',' 군자지하보도 앞',177,135
'201701','563',' 성동세무서 건너편',179,306
'201701','564',' 금호역 3번출구',15,7
'201701','565',' 옥수역 3번출구',157,166
'201701','567',' 성수역 2번출구 앞',463,338
'201701','568',' 청계8가사거리 부근',395,406
'201701','135',' 명물길 원형무대 앞',98,162
'201701','569',' 응봉현대아파트 정류소',84,51
'201701','578',' 성동세무서 부근',174,179
'201701','579',' 마장역 4번출구',166,139
'201701','580',' 신금호역 3번출구 뒤',53,21
'201701','581',' 용답초등학교',120,111
'201701','582',' 경일중학교 앞',137,90
'201701','583',' 청계천 생태교실 앞',112,125
'201701','551',' 구의삼성쉐르빌 앞',197,225
'201701','552',' 대림아크로리버 앞',44,46
'201701','553',' 중곡 성원APT 앞',113,94
'201701','136',' 대흥동 주민센터',127,30
'201701','554',' 아차산역 사거리',184,125
'201701','555',' 구의3동주민센터',31,54
'201701','571',' 어린이대공원역6번출구',230,219
'201701','572',' 국립정신 건강센터 앞',86,76
'201701','573',' 구의문주차장 앞',307,286
'201701','574',' 아차산역4번출구',139,101
'201701','575',' 중앙농협 중곡지점',22,24
'201701','576',' 광나루역 3번 출구',105,99
'201701','577',' 광진청소년수련관',115,128
'201701','621',' 동대문중학교 옆',29,21
'201701','137',' NH농협 신촌지점 앞',112,59
'201701','622',' 전농사거리 교통섬',158,242
'201701','623',' 서울시립대 정문 앞',450,295
'201701','624',' 전농동 동아아파트 앞',178,232
'201701','625',' 답십리초등학교 앞(현대시장 옆)',111,121
'201701','626',' 군자교 서측 녹지대',82,77
'201701','627',' 장안동삼거리 교통섬',97,106
'201701','628',' 휘봉고등학교 앞',50,47
'201701','630',' 동대문구 보건소',191,170
'201701','631',' 답십리역 1번출구',224,267
'201701','102',' 망원역 1번출구 앞',415,348
'201701','138',' 신촌동 제1공영주차장 앞',212,171
'201701','633',' 청량리 기업은행 앞',253,298
'201701','634',' 외국어대 정문 앞',226,256
'201701','635',' 시조사 앞 (청량고정문 옆)',184,152
'201701','636',' 세종대왕기념관 교차로',100,96
'201701','637',' KAIST 경영대학 앞',98,112
'201701','638',' 서울시립대 정보기술관',102,157
'201701','639',' 서울시립대 후문',354,279
'201701','640',' KEB하나은행 청량리역지점',61,60
'201701','641',' 용두역 4번출구',167,242
'201701','642',' 신답역 사거리',121,93
'201701','140',' 이화여대 후문',127,175
'201701','643',' 동대문구민체육센터 (육교아래)',61,113
'201701','230',' 영등포구청역 1번출구',399,380
'201701','260',' 여의도 마리나선착장 앞',54,51
'201701','262',' 영문초등학교 사거리',219,265
'201701','263',' 근로자회관 사거리',164,137
'201701','264',' 교보생명보험 앞',114,172
'201701','265',' 영등포유통상가 사거리',131,95
'201701','141',' 연대 대운동장 옆',153,137
'201701','266',' 영등포청과시장 사거리',273,249
'201701','267',' 삼성화재 사옥 옆',77,67
'201701','268',' 그랜드컨벤션센터 앞',92,83
'201701','270',' 증권거래소후문교차로',48,37
'201701','271',' 샛강생태공원방문자센터 앞',126,74
'201701','272',' 당산육갑문',130,136
'201701','716','신정6동 주민센터 인근',134,141
'201701','139',' 연세대 정문 건너편',123,60
'201701','719',' 홍익병원앞 교차로',54,55
'201701','720',' 서울강월초등학교 앞',48,15
'201701','816',' 신용산역 6번출구 앞',200,233
'201701','817',' 삼각지역 4번출구 앞',80,72
'201701','818',' 숙명여대 입구 교차로',153,216
'201701','819',' 선린인터넷 고등학교',132,141
'201701','820',' 청파동입구 교차로',122,147
'201701','822',' 이촌1동 마을공원',78,78
'201701','823',' 효창동주민센터 앞',61,74
'201701','825',' 서빙고동 주민센터 앞',159,172
'201701','199',' 서울 월드컵 경기장',175,158
'201701','388',' 동성중학교 앞',161,146
'201701','584',' 광진광장 교통섬',136,126
'201701','585',' 성수2가1동 공영주차장 인근',93,75
'201701','586',' 마장동 주민센터',85,97
'201701','900',' 은평예술회관',154,200
'201701','901',' 응암1동사무소',175,137
'201701','200',' 국회의원회관',150,145
'201701','902',' 진관동 은빛초등학교',20,29
'201701','903',' 은평뉴타운 아이파크',86,95
'201701','904',' 은평뉴타운 푸르지오',125,118
'201701','905',' 구파발역 2번출구',204,219
'201701','906',' 연신내역 5번출구150M 아래',236,224
'201701','907',' CJ 드림시티',325,429
'201701','908',' 구산역 4번출구',111,124
'201701','909',' 백련산 힐스테이트 3차',70,36
'201701','911',' 은평평화공원(역촌역4번출구)',162,145
'201701','201',' 진미파라곤 앞',208,190
'201701','912',' 응암오거리',170,183
'201701','913',' 이마트 은평점',274,258
'201701','914',' 새절역 2번출구',191,256
'201701','915',' 증산역 4번출구',134,174
'201701','916',' 평생학습관 앞',107,111
'201701','917',' 녹번역 4번출구',167,95
'201701','919',' 서울혁신파크',73,74
'201701','921',' 신도고등학교',81,54
'201701','202',' 국민일보 앞',308,377
'201701','922',' 연신내역 4번출구',62,60
'201701','923',' 국민은행 연서지점',97,99
'201701','924',' 메뚜기다리',27,35
'201701','925',' 불광역 2번출구',60,34
'201701','926',' 불광역 8번출구',196,177
'201701','927',' 연신내역 3번출구 인근',81,86
'201701','928',' 은평역사한옥박물관',27,15
'201701','930',' 구 서부경찰서 건너편',14,19
'201701','931',' 역촌파출소',159,218
'201701','중랑센터','중랑센터',2,1
'201701','932',' 예일여중',108,103
'201701','933',' LG서비스 역촌점',172,162
'201701','587',' KEB하나은행 성수중앙지점',85,69
'201701','588',' 뚝섬 유원지역',48,49
'201701','103',' 망원역 2번출구 앞',255,280
'201701','204',' 국회의사당역 5번출구 옆',164,143
'201701','203',' 국회의사당역 3번출구 옆',272,270
'201701','205',' 산업은행 앞',163,182
'201701','206',' KBS 앞',311,303
'201701','209',' 유진투자증권빌딩 앞',254,306
'201701','210',' IFC몰',376,439
'201701','211',' 여의도역 4번출구 옆',571,476
'201701','212',' 여의도역 1번출구 옆',359,303
'201701','213',' KT앞',495,398
'201701','104',' 합정역 1번출구 앞',271,211
'201701','214',' 금융감독원 앞',192,150
'201701','218',' 증권거래소 앞',161,173
'201701','219',' 롯데캐슬엠파이어 옆',146,140
'201701','220',' 미성아파트 A동 앞',184,167
'201701','215',' 여의도고교 앞',54,63
'201701','216',' 삼부아파트1동 앞',384,357
'201701','217',' NH농협은행 앞',248,300
'201701','221',' 여의도초교 앞',404,367
'201701','222',' 시범아파트버스정류장 옆',340,379
'201701','223',' 진주아파트상가 앞',316,338
'201701','105',' 합정역 5번출구 앞',196,141
'201701','224',' 롯데캐슬 앞',416,415
'201701','225',' 앙카라공원 앞',271,197
'201701','226',' 샛강역 1번출구 앞',179,138
'201701','207',' 여의나루역 1번출구 앞',589,526
'201701','상암센터 정비실','상암센터 정비실',0,2
'201701','401',' 상암월드컵파크 10단지 앞',88,127
'201701','402',' 상암월드컵파크 9단지 앞',195,200
'201701','403',' 부엉이공원 앞',137,57
'201701','106',' 합정역 7번출구 앞',359,318
'201701','405',' DMC빌 앞',143,164
'201701','406',' 상암월드컵파크 7단지 앞',158,147
'201701','421',' 마포구청 앞',446,476
'201701','407',' 마포구 육아종합지원센터',101,127
'201701','408',' LG CNS앞',225,238
'201701','420',' 서울시 공공자전거 상암센터',112,131
'201701','409',' 누리꿈스퀘어 옆',422,465
'201701','419',' 홈플러스 앞',447,397
'201701','410',' 상암중학교 옆',108,65
'201701','418',' 월드컵경기장역 3번출구 옆',228,265
'201701','107',' 신한은행 서교동금융센터점 앞',405,503
'201701','411',' DMC홍보관',172,160
'201701','412',' DMC산학협력연구센터 앞',413,388
'201701','413',' 상암월드컵파크 3단지 후문',223,154
'201701','417',' DMC역 2번출구 옆',262,248
'201701','414',' 상암동주민센터 옆',170,192
'201701','415',' DMC역 9번출구 앞',506,420
'201701','416',' 상암월드컵파크 1단지 교차로',205,101
'201701','500',' 어린이대공원역 3번출구 앞',304,272
'201701','501',' 광진구의회 앞',316,312
'201701','502',' 뚝섬유원지역 1번출구 앞',415,469
'201702','108',' 서교동 사거리',234,211
'201702','503',' 더샵스타시티 C동 앞',211,167
'201702','504',' 신자초교입구교차로',210,237
'201702','505',' 자양사거리 광진아크로텔 앞',294,283
'201702','506',' 금호 어울림 아파트 앞',62,70
'201702','507',' 성수아이에스비즈타워 앞',114,131
'201702','508',' 성수아카데미타워 앞',124,119
'201702','509',' 이마트 버스정류소 옆',307,307
'201702','510',' 서울숲 남문 버스정류소 옆',95,116
'201702','511',' 서울숲역 4번 출구 옆',318,328
'201702','512',' 뚝섬역 1번 출구 옆',350,333
'201702','109',' 제일빌딩 앞',193,213
'201702','400',' 상암한화오벨리스크 1차 앞',141,133
'201702','513',' 뚝섬역 5번 출구 정류소 옆',176,214
'201702','514',' 성수사거리 버스정류장 앞',286,289
'201702','515',' 광양중학교 앞',84,95
'201702','516',' 광진메디칼 앞',156,171
'201702','300',' 정동사거리',445,351
'201702','301',' 경복궁역 7번출구 앞',155,182
'201702','302',' 경복궁역 4번출구 뒤',376,376
'201702','303',' 광화문역 1번출구 앞',307,269
'201702','115',' 사루비아 빌딩 앞',327,268
'201702','304',' 광화문역 2번출구 앞',209,239
'201702','305',' 종로구청 옆',301,409
'201702','306',' 광화문역 7번출구 앞',191,180
'201702','307',' 서울역사박물관 앞',252,224
'201702','308',' 광화문 S타워 앞',157,166
'201702','309',' 광화문역 6번출구 옆',181,148
'201702','310',' 청계광장 옆',202,181
'201702','311',' 서울광장 옆',366,357
'201702','312',' 시청역 1번출구 뒤',333,313
'201702','313',' 서울역 광장 파출소 옆',194,231
'201702','110',' 사천교',114,99
'201702','314',' 국립현대미술관',374,388
'201702','315',' 신한은행 안국역지점 옆',226,237
'201702','316',' 종각역 1번출구 앞',392,381
'201702','318',' 광교사거리 남측',161,140
'201702','320',' 을지로입구역 4번출구 앞',270,267
'201702','321',' KEB 하나은행 본점 앞',170,150
'201702','322',' 명동성당 앞',120,101
'201702','116',' 일진아이윌아파트 옆',295,362
'201702','324',' 신세계백화점 본점 앞',223,212
'201702','326',' 안국역 5번출구 앞',407,223
'201702','327',' 낙원상가 옆',302,322
'201702','328',' 탑골공원 앞',386,418
'201702','329',' 청계2가 사거리 옆',337,376
'201702','330',' 청계천 한빛광장',192,147
'201702','331',' 을지로2가 사거리 북측',120,143
'201702','332',' 을지로2가 사거리 남측',140,120
'201702','111',' 상수역 2번출구 앞',186,158
'201702','334',' 종로3가역 2번출구 뒤',390,406
'201702','335',' 종로3가역 15번출구 앞',251,225
'201702','336',' 티마크 호텔 앞',323,284
'201702','337',' 창경궁 입구',155,159
'201702','338',' 세운스퀘어 앞',437,523
'201702','339',' 종로4가 사거리',472,435
'201702','340',' 혜화동 로터리',355,361
'201702','341',' 혜화역 3번출구 뒤',360,295
'201702','342',' 대학로 마로니에공원',442,402
'201702','343',' 예일빌딩(율곡로) 앞',153,176
'201702','112',' 극동방송국 앞',295,347
'201702','344',' 성균관대 E하우스 앞',291,286
'201702','345',' 서울보증보험본사 앞',191,296
'201702','346',' 맥스타일 앞',348,408
'201702','347',' 동대문역사문화공원역 9번출구 앞',295,283
'201702','349',' 사직동주민센터',276,210
'201702','350','KEB 하나은행(내자동 지점) 앞',185,189
'201702','351',' 청운초교 앞 삼거리',183,165
'201702','352',' 중앙고입구 삼거리',126,63
'201702','353',' 재동초교 앞 삼거리',132,136
'201702','117',' 홍은사거리',136,139
'201702','354',' 포르투갈 대사관 앞',276,192
'201702','355',' 서울사대부속초교 앞',208,251
'201702','356',' KT혜화지사 앞',247,267
'201702','358',' 성대입구 사거리',547,528
'201702','359',' 원남동사거리',208,203
'201702','361',' 동묘앞역 1번출구 뒤',239,274
'201702','362',' 청계8가 사거리',276,223
'201702','363',' 신설동역 11번출구 뒤',111,80
'201702','364',' 창신역 1번출구 앞',133,78
'201702','113',' 홍대입구역 2번출구 앞',1106,1302
'201702','367',' 독립문역 3-1번출구 ',99,100
'201702','368',' SK 서린빌딩 앞',164,185
'201702','369',' 광화문 시민열린마당',200,168
'201702','348',' 독립문역 사거리',124,132
'201702','370',' 시청역(2호선) 9번출구 뒤',206,181
'201702','371',' 동대입구역 6번출구 뒤',179,181
'201702','372',' 약수역 3번출구 뒤',110,123
'201702','373',' 청구 어린이공원',20,14
'201702','374',' 청구역 2번출구 앞',121,133
'201702','118',' 광흥창역 2번출구 앞',319,266
'201702','375',' 다산 어린이공원',181,176
'201702','377',' 서울역 4번출구 앞',80,100
'201702','378',' 청계7가 사거리',221,208
'201702','379',' 서울역9번출구',93,80
'201702','380',' CJ제일제당 앞',211,211
'201702','381',' 장충체육관',38,18
'201702','382',' 약수역 10번출구 앞',71,87
'201702','383',' 신당역 12번 출구 뒤',363,333
'201702','384',' 종로학원본원 ',115,91
'201702','114',' 홍대입구역 8번출구 앞',339,362
'201702','142',' 아현역 4번출구 앞',170,162
'201702','143',' 공덕역 2번출구',163,241
'201702','144',' 공덕역 8번출구',321,426
'201702','145',' 공덕역 5번출구',201,191
'201702','146',' 마포역 1번출구 뒤',254,334
'201702','147',' 마포역 4번출구 뒤',192,309
'201702','148',' 용강동 주민센터 앞',166,198
'201702','150',' 서강대역 2번출구 앞',161,205
'201702','151',' 망원1동주민센터',111,173
'201702','152',' 마포구민체육센터 앞',271,389
'201702','119',' 서강나루 공원',261,266
'201702','153',' 성산2교 사거리',312,397
'201702','154',' 마포구청역 ',223,220
'201702','155',' 가좌역1 번출구 뒤',133,111
'201702','156',' 서울서부지방법원 앞',194,226
'201702','157',' 애오개역 4번출구 앞',202,254
'201702','158',' 독립문 어린이 공원',179,147
'201702','159',' 이대역 4번 출구',197,103
'201702','160',' 북아현동 가구거리',162,138
'201702','161',' 무악재역1번 출구',57,61
'201702','162',' 봉원고가차도 밑',296,132
'201702','120',' 신수동 사거리',112,110
'201702','163',' 명지전문대학교 정문 앞',98,101
'201702','164',' 북가좌1동 주민센터 ',120,81
'201702','165',' 중앙근린공원',140,126
'201702','166',' 가재울 초등학교',232,235
'201702','167',' 연가초등학교 옆',78,15
'201702','168',' 남가좌동 사거리',37,33
'201702','169',' 북가좌 삼거리',107,73
'201702','170',' 가재울 뉴타운 주유소 옆',225,260
'201702','171',' 임광빌딩 앞',210,251
'201702','172',' 서대문소방서',175,119
'201702','121',' 마포소방서 앞',174,167
'201702','173',' 서대문역 8번출구 앞',194,209
'201702','175',' 홍연2교옆',311,264
'201702','179',' 가좌역 4번출구 앞',243,293
'201702','180',' 충정로역 7번출구 뒤',213,162
'201702','518',' 청계천 박물관 앞',47,60
'201702','519',' 양지사거리',144,121
'201702','520',' 상왕십리역 4번 출구 앞',125,114
'201702','521',' 왕십리역 11번 출구 앞',140,174
'201702','522',' 금호역 1번출구 앞',50,55
'201702','523',' 옥수동성당 옆',22,11
'201702','122',' 신성기사식당 앞',261,254
'201702','524',' 래미안금호하이리버 아파트 102동 옆',58,33
'201702','525',' 한양대병원사거리',328,317
'201702','526',' 용답토속공원 앞',117,125
