'대여일자','대여소번호','대여소','대여건수','반납건수'
'201701','108',' 서교동 사거리',246,198
'201701','503',' 더샵스타시티 C동 앞',246,224
'201701','504',' 신자초교입구교차로',232,261
'201701','505',' 자양사거리 광진아크로텔 앞',302,313
'201701','506',' 금호 어울림 아파트 앞',72,77
'201701','507',' 성수아이에스비즈타워 앞',169,199
'201701','508',' 성수아카데미타워 앞',156,126
'201701','509',' 이마트 버스정류소 옆',311,359
'201701','510',' 서울숲 남문 버스정류소 옆',52,67
'201701','511',' 서울숲역 4번 출구 옆',238,219
'201701','512',' 뚝섬역 1번 출구 옆',303,310
'201701','109',' 제일빌딩 앞',178,200
'201701','400',' 상암한화오벨리스크 1차 앞',124,153
'201701','513',' 뚝섬역 5번 출구 정류소 옆',181,232
'201701','514',' 성수사거리 버스정류장 앞',281,328
'201701','515',' 광양중학교 앞',75,76
'201701','516',' 광진메디칼 앞',170,178
'201701','300',' 정동사거리',417,366
'201701','301',' 경복궁역 7번출구 앞',220,223
'201701','302',' 경복궁역 4번출구 뒤',353,367
'201701','303',' 광화문역 1번출구 앞',288,257
'201701','115',' 사루비아 빌딩 앞',325,265
'201701','304',' 광화문역 2번출구 앞',187,204
'201701','305',' 종로구청 옆',305,391
'201701','306',' 광화문역 7번출구 앞',197,202
'201701','307',' 서울역사박물관 앞',297,268
'201701','308',' 광화문 S타워 앞',157,165
'201701','309',' 광화문역 6번출구 옆',165,180
'201701','310',' 청계광장 옆',206,175
'201701','311',' 서울광장 옆',445,383
'201701','312',' 시청역 1번출구 뒤',413,404
'201701','313',' 서울역 광장 파출소 옆',181,222
'201701','110',' 사천교',94,80
'201701','314',' 국립현대미술관',420,385
'201701','315',' 신한은행 안국역지점 옆',225,260
'201701','316',' 종각역 1번출구 앞',386,389
'201701','318',' 광교사거리 남측',183,156
'201701','320',' 을지로입구역 4번출구 앞',286,271
'201701','321',' KEB 하나은행 본점 앞',199,193
'201701','322',' 명동성당 앞',138,91
'201701','116',' 일진아이윌아파트 옆',338,416
'201701','324',' 신세계백화점 본점 앞',238,232
'201701','326',' 안국역 5번출구 앞',392,286
'201701','327',' 낙원상가 옆',250,306
'201701','328',' 탑골공원 앞',507,498
'201701','329',' 청계2가 사거리 옆',329,332
'201701','330',' 청계천 한빛광장',215,164
'201701','331',' 을지로2가 사거리 북측',152,168
'201701','332',' 을지로2가 사거리 남측',181,140
'201701','111',' 상수역 2번출구 앞',233,196
'201701','334',' 종로3가역 2번출구 뒤',446,437
'201701','335',' 종로3가역 15번출구 앞',222,227
'201701','336',' 티마크 호텔 앞',334,276
'201701','337',' 창경궁 입구',111,97
'201701','338',' 세운스퀘어 앞',457,539
'201701','339',' 종로4가 사거리',504,484
'201701','340',' 혜화동 로터리',370,394
'201701','341',' 혜화역 3번출구 뒤',352,312
'201701','342',' 대학로 마로니에공원',390,450
'201701','343',' 예일빌딩(율곡로) 앞',215,198
'201701','112',' 극동방송국 앞',282,327
